id,dish_name,dish_sub_name,style,main_ingredient,base_ingredient,allergy,ingredients,link
85,Bulgogi Chicken Stir Fry,with Noodles and Sugar Snap Peas,Korean,Chicken,Noodles,,"bell pepper,lime,chicken,egg noodle nest,sugar snap peas,bulgogi sauce,soy sauce",https://drive.google.com/file/d/1GybvxuK_AiCzpvOe8_tQu7hr7Q4LXK6p/view?usp=sharing
86,Cheesy Crusted Sea Bass,with Roasted Potatoes and Honey Mustard Carrots,British,Fish,Roasted Potatoes,fish,"potatoes,carrot,garlic,breadcrumbs,mixed herbs,parmesan,honey,wholegrain mustard,sea bass fillet,mayonnaise",https://drive.google.com/file/d/1uqa0OyS25BSJ_vZA0FNuMmbeyk-w48PF/view?usp=sharing
87,Cheesy Curried Beans and Mash,with Cucumber and Baby Leaf Salad,Indian,Vegetables,Mashed Potatoes,,"potatoes,garlic,cucumber,butter beans,mature cheddar cheese,indian spice mix,tomato passata,vegetable stock,red wine vinegar,mango chutney,salad mix",https://drive.google.com/file/d/1CwQ_1tQR1QlecSvGeX7PUcfwXD6eCGJy/view?usp=sharing
88,Chicken and Butter Bean Cassoulet,"with Green Beans, Pesto and Rocket",French,Chicken,Vegetables,,"garlic,chicken,green bean,tomatoes,butter beans,chicken stock,pesto,rocket",https://drive.google.com/file/d/1iFfwlIAyKRreEAqKZ3b5DH9K36EapkB7/view?usp=sharing
89,"Two Cheese, Leek and Potato Gratin",with Apple and Baby Leaf Salad,French,Vegetables,Roasted Potatoes,,"potatoes,mature cheddar cheese,leek,creme fraiche,vegetable stock,wholegrain mustard,parmesan,apple,cider vinegar,salad mix",https://drive.google.com/file/d/1cRWGdf2NSOF4ONhEMx8_7U5GKbnlC8Rj/view?usp=sharing
90,Creamy Chicken a la Normande,with Apple and Spring Green Colcannon,French,Chicken,Vegetables,,"potatoes,apple,garlic,spring greens,chicken,chicken stock,wholegrain mustard,creme fraiche",https://drive.google.com/file/d/1ANqZa_DAHuX8Xyii4G7T0DKcoT5-22v1/view?usp=sharing
91,Creamy Rosemary Chicken Spaghetti,with Charred Courgette,Italian,Chicken,Pasta,,"garlic,lemon,courgette,chicken,spaghetti,rosemary,creme fraiche,vegetable stock,parmesan",https://drive.google.com/file/d/1A55fodQwghVSCYRIJ5f-ocsStllHcpbE/view?usp=sharing
92,Fragrant Lamb Noodle Stir Fry,"with Mushrooms, Carrot and Lime",Chinese,Lamb,Noodles,,"carrot,red onion,egg noodle nest,lamb mince,indonesian spice mix,mushroom,lime,ginger and lemongrass puree,ketjap manis,soy sauce",https://drive.google.com/file/d/1Hx7AbqGO_7HWzskwwFfkNsMk0CRPYBho/view?usp=sharing
93,Fragrant Sambal Chicken and Veg Stir Fry,with Jasmine Rice,Chinese,Chicken,Rice,,"jasmine rice,green bean,chicken,ginger and lemongrass puree,garlic,ketjap manis,sambal paste,coleslaw,indonesian spice mix",https://drive.google.com/file/d/1SxxHpYCOFm2l4h1wOVd6Ip2HEACr31SY/view?usp=sharing
94,Linguine in Creamy Bacon Sauce,"with Peas, Rocket and Balsamic Drizzle",Italian,Bacon,Pasta,,"linguine,garlic,bacon lardons,chicken stock,creme fraiche,peas,parmesan,rocket,balsamic glaze",https://drive.google.com/file/d/1XI2Xmyrvr0xsPmv0c3NcS4zIJwoYS-9i/view?usp=sharing
95,"Sweet Potato, Ginger & Garlic Tofu Stew",with Lime and Spinach,Chinese,Tofu,Vegetables,,"sweet potato,tofu,garlic,lime,thai style spice blend,ginger,tomato puree,coconut milk,vegetable stock,spinach,soy sauce,",https://drive.google.com/file/d/1qe64RViw7Y-ZZPY096fgLvfErF1rayuR/view?usp=sharing
96,"Ginger, Lime and Garlic Chicken Stew",with Spinach and Basmati Rice,Chinese,Chicken,Rice,,"chicken,garlic,lime,basmati rice,ginger,tomato puree,coconut milk,vegetable stock,spinach,soy sauce",https://drive.google.com/file/d/18hwuDq5LESy91RMY-C1W002DmnJbTlNG/view?usp=sharing
97,Gochujang Salmon Poke Bowl,with Sesame Sweet Potato and Smacked Cucumber,Korean,Fish,Rice,fish,"sweet potato,garlic,jasmine rice,salmon,cucumber,sambal paste,rice vinegar,gochujang paste,honey,sesame seeds",https://drive.google.com/file/d/1bYXra2YLgPNHpicqFlTA7bSHacX8nrYO/view?usp=sharing
